column,TP,FP,FN,precision,recall,f1,method
CSV Column,15,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Entity Class,15,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Join,1,0,2,1.0,0.3333333333333333,0.5,gemini_2.5_0.70_all
Ontology Property,15,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Subject Generation,15,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
CSV Column,15,0,0,1.0,1.0,1.0,o3_0.70_all
Entity Class,15,0,0,1.0,1.0,1.0,o3_0.70_all
Join,3,0,0,1.0,1.0,1.0,o3_0.70_all
Ontology Property,9,0,6,1.0,0.6,0.7499999999999999,o3_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,o3_0.70_all
Subject Generation,15,0,0,1.0,1.0,1.0,o3_0.70_all
CSV Column,12,0,3,1.0,0.8,0.888888888888889,deepseek_0.70_all
Entity Class,15,0,0,1.0,1.0,1.0,deepseek_0.70_all
Join,3,0,0,1.0,1.0,1.0,deepseek_0.70_all
Ontology Property,15,0,0,1.0,1.0,1.0,deepseek_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,deepseek_0.70_all
Subject Generation,12,0,3,1.0,0.8,0.888888888888889,deepseek_0.70_all
CSV Column,3,0,12,1.0,0.2,0.3333333333333333,gpt4o_0.70_all
Entity Class,15,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Join,3,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Ontology Property,15,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Subject Generation,14,0,1,1.0,0.9333333333333332,0.9655172413793104,gpt4o_0.70_all
CSV Column,15,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Entity Class,15,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Join,0,0,3,0.0,0.0,0.0,llama_hf_0.70_all
Ontology Property,15,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Subject Generation,15,0,0,1.0,1.0,1.0,llama_hf_0.70_all
CSV Column,0,0,15,0.0,0.0,0.0,mixtral_hf_0.70_all
Entity Class,15,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Join,3,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Ontology Property,14,0,1,1.0,0.9333333333333332,0.9655172413793104,mixtral_hf_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Subject Generation,5,0,10,1.0,0.3333333333333333,0.5,mixtral_hf_0.70_all
