column,mean_similarity,LLM,method
Data Reference,0.5910970732141695,gemini,max_all
Entity Class,1.0,gemini,max_all
Join,0.838685671488444,gemini,max_all
Ontology Property,1.0,gemini,max_all
Related Entity Class,1.0,gemini,max_all
Subject Generation,0.9639858518327984,gemini,max_all
Data Reference,0.7798601793391363,o3,max_all
Entity Class,0.9678328633308412,o3,max_all
Join,0.6304671764373779,o3,max_all
Ontology Property,0.9491811650139944,o3,max_all
Related Entity Class,0.704040730992953,o3,max_all
Subject Generation,0.9240811382021222,o3,max_all
Data Reference,0.7346005527037806,deepseek,max_all
Entity Class,0.907519482076168,deepseek,max_all
Join,0.5928538133210116,deepseek,max_all
Ontology Property,0.923626368954068,deepseek,max_all
Related Entity Class,0.6246098279953003,deepseek,max_all
Subject Generation,0.7899227983185223,deepseek,max_all
Data Reference,0.3833330076973454,gpt4o,max_all
Entity Class,0.935665726661682,gpt4o,max_all
Join,0.4279861745114128,gpt4o,max_all
Ontology Property,0.8750470301540441,gpt4o,max_all
Related Entity Class,0.7435714304447174,gpt4o,max_all
Subject Generation,0.8951959354536875,gpt4o,max_all
Data Reference,0.883235650403159,llama,max_all
Entity Class,0.9678328633308412,llama,max_all
Join,0.249788586050272,llama,max_all
Ontology Property,0.8482096940279007,llama,max_all
Related Entity Class,0.6185454577207565,llama,max_all
Subject Generation,0.8951959865433828,llama,max_all
Data Reference,0.4042344045360462,mixtral,max_all
Entity Class,1.0,mixtral,max_all
Join,0.4058894198387861,mixtral,max_all
Ontology Property,0.943135013182958,mixtral,max_all
Related Entity Class,1.0,mixtral,max_all
Subject Generation,0.6117085933133408,mixtral,max_all
