column,TP,FP,FN,precision,recall,f1,method
CSV Column,5,0,12,1.0,0.2941176470588235,0.4545454545454545,gemini_2.5_0.90_all
Datatype,15,0,0,1.0,1.0,1.0,gemini_2.5_0.90_all
Entity Class,18,0,0,1.0,1.0,1.0,gemini_2.5_0.90_all
Join,2,0,1,1.0,0.6666666666666666,0.8,gemini_2.5_0.90_all
Language Annotations,0,0,3,0.0,0.0,0.0,gemini_2.5_0.90_all
Ontology Property,18,0,0,1.0,1.0,1.0,gemini_2.5_0.90_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gemini_2.5_0.90_all
Subject Generation,11,0,7,1.0,0.6111111111111112,0.7586206896551725,gemini_2.5_0.90_all
CSV Column,8,0,16,1.0,0.3333333333333333,0.5,o3_0.90_all
Datatype,11,0,6,1.0,0.6470588235294118,0.7857142857142858,o3_0.90_all
Entity Class,16,0,8,1.0,0.6666666666666666,0.8,o3_0.90_all
Join,2,0,2,1.0,0.5,0.6666666666666666,o3_0.90_all
Language Annotations,0,0,3,0.0,0.0,0.0,o3_0.90_all
Ontology Property,11,0,13,1.0,0.4583333333333333,0.6285714285714286,o3_0.90_all
Related Entity Class,1,0,1,1.0,0.5,0.6666666666666666,o3_0.90_all
Subject Generation,14,0,10,1.0,0.5833333333333334,0.7368421052631579,o3_0.90_all
CSV Column,4,0,15,1.0,0.2105263157894736,0.3478260869565217,deepseek_0.90_all
Datatype,14,0,0,1.0,1.0,1.0,deepseek_0.90_all
Entity Class,17,0,0,1.0,1.0,1.0,deepseek_0.90_all
Join,0,0,3,0.0,0.0,0.0,deepseek_0.90_all
Language Annotations,3,0,0,1.0,1.0,1.0,deepseek_0.90_all
Ontology Property,15,0,2,1.0,0.8823529411764706,0.9375,deepseek_0.90_all
Related Entity Class,3,0,0,1.0,1.0,1.0,deepseek_0.90_all
Subject Generation,6,0,11,1.0,0.3529411764705882,0.5217391304347826,deepseek_0.90_all
CSV Column,0,0,18,0.0,0.0,0.0,gpt4o_0.90_all
Datatype,16,0,0,1.0,1.0,1.0,gpt4o_0.90_all
Entity Class,19,0,0,1.0,1.0,1.0,gpt4o_0.90_all
Join,0,0,3,0.0,0.0,0.0,gpt4o_0.90_all
Language Annotations,1,0,0,1.0,1.0,1.0,gpt4o_0.90_all
Ontology Property,17,0,2,1.0,0.8947368421052632,0.9444444444444444,gpt4o_0.90_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.90_all
Subject Generation,4,0,15,1.0,0.2105263157894736,0.3478260869565217,gpt4o_0.90_all
CSV Column,0,0,16,0.0,0.0,0.0,llama_hf_0.90_all
Datatype,14,0,0,1.0,1.0,1.0,llama_hf_0.90_all
Entity Class,16,0,0,1.0,1.0,1.0,llama_hf_0.90_all
Join,0,0,2,0.0,0.0,0.0,llama_hf_0.90_all
Language Annotations,3,0,0,1.0,1.0,1.0,llama_hf_0.90_all
Ontology Property,12,0,4,1.0,0.75,0.8571428571428571,llama_hf_0.90_all
Related Entity Class,2,0,0,1.0,1.0,1.0,llama_hf_0.90_all
Subject Generation,0,0,16,0.0,0.0,0.0,llama_hf_0.90_all
CSV Column,0,0,19,0.0,0.0,0.0,mixtral_hf_0.90_all
Datatype,17,0,0,1.0,1.0,1.0,mixtral_hf_0.90_all
Entity Class,19,0,0,1.0,1.0,1.0,mixtral_hf_0.90_all
Join,0,0,1,0.0,0.0,0.0,mixtral_hf_0.90_all
Language Annotations,0,0,1,0.0,0.0,0.0,mixtral_hf_0.90_all
Ontology Property,15,0,4,1.0,0.7894736842105263,0.8823529411764706,mixtral_hf_0.90_all
Related Entity Class,1,0,0,1.0,1.0,1.0,mixtral_hf_0.90_all
Subject Generation,0,0,15,0.0,0.0,0.0,mixtral_hf_0.90_all
