column,TP,FP,FN,precision,recall,f1,method
CSV Column,6,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Join,0,0,3,0.0,0.0,0.0,gemini_2.5_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Subject Generation,1,0,7,1.0,0.125,0.2222222222222222,gemini_2.5_0.80_all
CSV Column,6,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Join,0,0,3,0.0,0.0,0.0,gemini_2.5_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Subject Generation,1,0,7,1.0,0.125,0.2222222222222222,gemini_2.5_0.70_all
CSV Column,6,0,0,1.0,1.0,1.0,o3_0.70_all
Entity Class,11,0,0,1.0,1.0,1.0,o3_0.70_all
Join,0,0,3,0.0,0.0,0.0,o3_0.70_all
Ontology Property,7,0,4,1.0,0.6363636363636364,0.7777777777777778,o3_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,o3_0.70_all
Subject Generation,4,0,7,1.0,0.3636363636363636,0.5333333333333333,o3_0.70_all
CSV Column,2,0,4,1.0,0.3333333333333333,0.5,o3_0.80_all
Entity Class,11,0,0,1.0,1.0,1.0,o3_0.80_all
Join,0,0,3,0.0,0.0,0.0,o3_0.80_all
Ontology Property,5,0,6,1.0,0.4545454545454545,0.625,o3_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,o3_0.80_all
Subject Generation,0,0,11,0.0,0.0,0.0,o3_0.80_all
CSV Column,6,0,0,1.0,1.0,1.0,deepseek_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,deepseek_0.80_all
Join,0,0,3,0.0,0.0,0.0,deepseek_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,deepseek_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,deepseek_0.80_all
Subject Generation,0,0,9,0.0,0.0,0.0,deepseek_0.80_all
CSV Column,6,0,0,1.0,1.0,1.0,deepseek_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,deepseek_0.70_all
Join,0,0,3,0.0,0.0,0.0,deepseek_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,deepseek_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,deepseek_0.70_all
Subject Generation,0,0,9,0.0,0.0,0.0,deepseek_0.70_all
CSV Column,6,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Join,1,0,2,1.0,0.3333333333333333,0.5,gpt4o_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Subject Generation,9,0,0,1.0,1.0,1.0,gpt4o_0.70_all
CSV Column,6,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Join,1,0,2,1.0,0.3333333333333333,0.5,gpt4o_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Subject Generation,5,0,4,1.0,0.5555555555555556,0.7142857142857143,gpt4o_0.80_all
CSV Column,6,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Join,0,0,3,0.0,0.0,0.0,llama_hf_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Subject Generation,8,0,1,1.0,0.8888888888888888,0.9411764705882352,llama_hf_0.70_all
CSV Column,6,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Join,0,0,3,0.0,0.0,0.0,llama_hf_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,llama_hf_0.80_all
