column,TP,FP,FN,precision,recall,f1,method
CSV Column,6,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Join,0,0,3,0.0,0.0,0.0,gemini_2.5_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Subject Generation,1,0,7,1.0,0.125,0.2222222222222222,gemini_2.5_0.80_all
CSV Column,3,0,5,1.0,0.375,0.5454545454545454,o3_0.80_all
Entity Class,11,0,0,1.0,1.0,1.0,o3_0.80_all
Join,0,0,3,0.0,0.0,0.0,o3_0.80_all
Ontology Property,6,0,5,1.0,0.5454545454545454,0.7058823529411764,o3_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,o3_0.80_all
Subject Generation,0,0,11,0.0,0.0,0.0,o3_0.80_all
CSV Column,6,0,0,1.0,1.0,1.0,deepseek_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,deepseek_0.80_all
Join,0,0,3,0.0,0.0,0.0,deepseek_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,deepseek_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,deepseek_0.80_all
Subject Generation,0,0,9,0.0,0.0,0.0,deepseek_0.80_all
CSV Column,6,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Join,1,0,2,1.0,0.3333333333333333,0.5,gpt4o_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Subject Generation,5,0,4,1.0,0.5555555555555556,0.7142857142857143,gpt4o_0.80_all
CSV Column,6,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Join,0,0,3,0.0,0.0,0.0,llama_hf_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Subject Generation,5,0,4,1.0,0.5555555555555556,0.7142857142857143,llama_hf_0.80_all
CSV Column,12,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
Entity Class,15,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
Join,0,0,3,0.0,0.0,0.0,mixtral_hf_0.80_all
Ontology Property,9,0,6,1.0,0.6,0.7499999999999999,mixtral_hf_0.80_all
Related Entity Class,2,0,1,1.0,0.6666666666666666,0.8,mixtral_hf_0.80_all
Subject Generation,0,0,15,0.0,0.0,0.0,mixtral_hf_0.80_all
