column,TP,FP,FN,precision,recall,f1,method
CSV Column,5,0,12,1.0,0.2941176470588235,0.4545454545454545,gemini_2.5_0.80_all
Datatype,13,0,2,1.0,0.8666666666666667,0.9285714285714286,gemini_2.5_0.80_all
Entity Class,14,0,4,1.0,0.7777777777777778,0.8750000000000001,gemini_2.5_0.80_all
Join,2,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Language Annotations,0,0,1,0.0,0.0,0.0,gemini_2.5_0.80_all
Ontology Property,14,0,4,1.0,0.7777777777777778,0.8750000000000001,gemini_2.5_0.80_all
Related Entity Class,1,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Subject Generation,10,0,8,1.0,0.5555555555555556,0.7142857142857143,gemini_2.5_0.80_all
CSV Column,5,0,12,1.0,0.2941176470588235,0.4545454545454545,gemini_2.5_0.70_all
Datatype,13,0,2,1.0,0.8666666666666667,0.9285714285714286,gemini_2.5_0.70_all
Entity Class,14,0,4,1.0,0.7777777777777778,0.8750000000000001,gemini_2.5_0.70_all
Join,2,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Language Annotations,0,0,1,0.0,0.0,0.0,gemini_2.5_0.70_all
Ontology Property,14,0,4,1.0,0.7777777777777778,0.8750000000000001,gemini_2.5_0.70_all
Related Entity Class,1,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Subject Generation,10,0,8,1.0,0.5555555555555556,0.7142857142857143,gemini_2.5_0.70_all
CSV Column,9,0,15,1.0,0.375,0.5454545454545454,o3_0.70_all
Datatype,12,0,12,1.0,0.5,0.6666666666666666,o3_0.70_all
Entity Class,14,0,10,1.0,0.5833333333333334,0.7368421052631579,o3_0.70_all
Join,0,0,3,0.0,0.0,0.0,o3_0.70_all
Language Annotations,2,0,1,1.0,0.6666666666666666,0.8,o3_0.70_all
Ontology Property,12,0,12,1.0,0.5,0.6666666666666666,o3_0.70_all
Related Entity Class,1,0,0,1.0,1.0,1.0,o3_0.70_all
Subject Generation,21,0,3,1.0,0.875,0.9333333333333332,o3_0.70_all
CSV Column,9,0,15,1.0,0.375,0.5454545454545454,o3_0.80_all
Datatype,12,0,12,1.0,0.5,0.6666666666666666,o3_0.80_all
Entity Class,14,0,10,1.0,0.5833333333333334,0.7368421052631579,o3_0.80_all
Join,0,0,3,0.0,0.0,0.0,o3_0.80_all
Language Annotations,0,0,3,0.0,0.0,0.0,o3_0.80_all
Ontology Property,10,0,14,1.0,0.4166666666666667,0.5882352941176471,o3_0.80_all
Related Entity Class,1,0,0,1.0,1.0,1.0,o3_0.80_all
Subject Generation,19,0,5,1.0,0.7916666666666666,0.8837209302325582,o3_0.80_all
CSV Column,5,0,14,1.0,0.2631578947368421,0.4166666666666667,deepseek_0.80_all
Datatype,13,0,3,1.0,0.8125,0.896551724137931,deepseek_0.80_all
Entity Class,14,0,3,1.0,0.8235294117647058,0.9032258064516128,deepseek_0.80_all
Join,0,0,2,0.0,0.0,0.0,deepseek_0.80_all
Language Annotations,2,0,0,1.0,1.0,1.0,deepseek_0.80_all
Ontology Property,11,0,6,1.0,0.6470588235294118,0.7857142857142858,deepseek_0.80_all
Related Entity Class,1,0,0,1.0,1.0,1.0,deepseek_0.80_all
Subject Generation,6,0,11,1.0,0.3529411764705882,0.5217391304347826,deepseek_0.80_all
CSV Column,5,0,14,1.0,0.2631578947368421,0.4166666666666667,deepseek_0.70_all
Datatype,13,0,3,1.0,0.8125,0.896551724137931,deepseek_0.70_all
Entity Class,14,0,3,1.0,0.8235294117647058,0.9032258064516128,deepseek_0.70_all
Join,0,0,2,0.0,0.0,0.0,deepseek_0.70_all
Language Annotations,2,0,0,1.0,1.0,1.0,deepseek_0.70_all
Ontology Property,13,0,4,1.0,0.7647058823529411,0.8666666666666666,deepseek_0.70_all
Related Entity Class,1,0,0,1.0,1.0,1.0,deepseek_0.70_all
Subject Generation,6,0,11,1.0,0.3529411764705882,0.5217391304347826,deepseek_0.70_all
CSV Column,0,0,18,0.0,0.0,0.0,gpt4o_0.70_all
Datatype,15,0,2,1.0,0.8823529411764706,0.9375,gpt4o_0.70_all
Entity Class,19,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Join,0,0,2,0.0,0.0,0.0,gpt4o_0.70_all
Language Annotations,1,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Ontology Property,17,0,2,1.0,0.8947368421052632,0.9444444444444444,gpt4o_0.70_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Subject Generation,5,0,14,1.0,0.2631578947368421,0.4166666666666667,gpt4o_0.70_all
CSV Column,0,0,18,0.0,0.0,0.0,gpt4o_0.80_all
Datatype,15,0,2,1.0,0.8823529411764706,0.9375,gpt4o_0.80_all
Entity Class,19,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Join,0,0,2,0.0,0.0,0.0,gpt4o_0.80_all
Language Annotations,1,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Ontology Property,15,0,4,1.0,0.7894736842105263,0.8823529411764706,gpt4o_0.80_all
Related Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Subject Generation,5,0,14,1.0,0.2631578947368421,0.4166666666666667,gpt4o_0.80_all
CSV Column,0,0,16,0.0,0.0,0.0,llama_hf_0.70_all
Datatype,14,0,2,1.0,0.875,0.9333333333333332,llama_hf_0.70_all
Entity Class,16,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Join,0,0,3,0.0,0.0,0.0,llama_hf_0.70_all
Language Annotations,3,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Ontology Property,14,0,2,1.0,0.875,0.9333333333333332,llama_hf_0.70_all
Related Entity Class,2,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Subject Generation,16,0,0,1.0,1.0,1.0,llama_hf_0.70_all
CSV Column,0,0,16,0.0,0.0,0.0,llama_hf_0.80_all
Datatype,14,0,2,1.0,0.875,0.9333333333333332,llama_hf_0.80_all
Entity Class,16,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Join,0,0,3,0.0,0.0,0.0,llama_hf_0.80_all
Language Annotations,3,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Ontology Property,12,0,4,1.0,0.75,0.8571428571428571,llama_hf_0.80_all
Related Entity Class,2,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Subject Generation,16,0,0,1.0,1.0,1.0,llama_hf_0.80_all
CSV Column,3,0,22,1.0,0.12,0.2142857142857142,o1_0.80_all
Datatype,14,0,5,1.0,0.7368421052631579,0.8484848484848484,o1_0.80_all
Entity Class,16,0,3,1.0,0.8421052631578947,0.9142857142857144,o1_0.80_all
Join,0,0,3,0.0,0.0,0.0,o1_0.80_all
Language Annotations,0,0,2,0.0,0.0,0.0,o1_0.80_all
Ontology Property,8,0,11,1.0,0.4210526315789473,0.5925925925925926,o1_0.80_all
Related Entity Class,1,0,0,1.0,1.0,1.0,o1_0.80_all
Subject Generation,16,0,3,1.0,0.8421052631578947,0.9142857142857144,o1_0.80_all
CSV Column,10,0,15,1.0,0.4,0.5714285714285715,o1_0.70_all
Datatype,14,0,5,1.0,0.7368421052631579,0.8484848484848484,o1_0.70_all
Entity Class,16,0,3,1.0,0.8421052631578947,0.9142857142857144,o1_0.70_all
Join,0,0,3,0.0,0.0,0.0,o1_0.70_all
Language Annotations,0,0,2,0.0,0.0,0.0,o1_0.70_all
Ontology Property,14,0,5,1.0,0.7368421052631579,0.8484848484848484,o1_0.70_all
Related Entity Class,1,0,0,1.0,1.0,1.0,o1_0.70_all
Subject Generation,16,0,3,1.0,0.8421052631578947,0.9142857142857144,o1_0.70_all
CSV Column,0,0,19,0.0,0.0,0.0,mixtral_hf_0.70_all
Datatype,17,0,2,1.0,0.8947368421052632,0.9444444444444444,mixtral_hf_0.70_all
Entity Class,19,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Join,0,0,0,0.0,0.0,0.0,mixtral_hf_0.70_all
Language Annotations,0,0,1,0.0,0.0,0.0,mixtral_hf_0.70_all
Ontology Property,17,0,2,1.0,0.8947368421052632,0.9444444444444444,mixtral_hf_0.70_all
Related Entity Class,1,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Subject Generation,0,0,15,0.0,0.0,0.0,mixtral_hf_0.70_all
CSV Column,0,0,19,0.0,0.0,0.0,mixtral_hf_0.80_all
Datatype,17,0,2,1.0,0.8947368421052632,0.9444444444444444,mixtral_hf_0.80_all
Entity Class,19,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
Join,0,0,0,0.0,0.0,0.0,mixtral_hf_0.80_all
Language Annotations,0,0,1,0.0,0.0,0.0,mixtral_hf_0.80_all
Ontology Property,15,0,4,1.0,0.7894736842105263,0.8823529411764706,mixtral_hf_0.80_all
Related Entity Class,1,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
Subject Generation,0,0,15,0.0,0.0,0.0,mixtral_hf_0.80_all
