column,TP,FP,FN,precision,recall,f1,method
CSV Column,16,0,11,1.0,0.5925925925925926,0.7441860465116279,o3_clean_0.80_all
Datatype,6,0,12,1.0,0.3333333333333333,0.5,o3_clean_0.80_all
Entity Class,39,0,0,1.0,1.0,1.0,o3_clean_0.80_all
Function Name,0,0,9,0.0,0.0,0.0,o3_clean_0.80_all
Function Output,2,0,6,1.0,0.25,0.4,o3_clean_0.80_all
Join,12,0,0,1.0,1.0,1.0,o3_clean_0.80_all
Ontology Property,39,0,0,1.0,1.0,1.0,o3_clean_0.80_all
Related Entity Class,17,0,4,1.0,0.8095238095238095,0.8947368421052632,o3_clean_0.80_all
Subject Generation,15,0,24,1.0,0.3846153846153846,0.5555555555555556,o3_clean_0.80_all
CSV Column,21,0,2,1.0,0.9130434782608696,0.9545454545454544,mixtral_clean_0.80_all
Datatype,7,0,7,1.0,0.5,0.6666666666666666,mixtral_clean_0.80_all
Entity Class,23,0,7,1.0,0.7666666666666667,0.8679245283018869,mixtral_clean_0.80_all
Function Name,0,0,9,0.0,0.0,0.0,mixtral_clean_0.80_all
Function Output,3,0,6,1.0,0.3333333333333333,0.5,mixtral_clean_0.80_all
Join,0,0,0,0.0,0.0,0.0,mixtral_clean_0.80_all
Ontology Property,25,0,6,1.0,0.8064516129032258,0.8928571428571428,mixtral_clean_0.80_all
Related Entity Class,7,0,2,1.0,0.7777777777777778,0.8750000000000001,mixtral_clean_0.80_all
Subject Generation,0,0,20,0.0,0.0,0.0,mixtral_clean_0.80_all
CSV Column,24,0,0,1.0,1.0,1.0,llama_clean_0.80_all
Datatype,0,0,15,0.0,0.0,0.0,llama_clean_0.80_all
Entity Class,24,0,12,1.0,0.6666666666666666,0.8,llama_clean_0.80_all
Function Name,0,0,9,0.0,0.0,0.0,llama_clean_0.80_all
Function Output,5,0,4,1.0,0.5555555555555556,0.7142857142857143,llama_clean_0.80_all
Join,0,0,12,0.0,0.0,0.0,llama_clean_0.80_all
Ontology Property,36,0,0,1.0,1.0,1.0,llama_clean_0.80_all
Related Entity Class,0,0,19,0.0,0.0,0.0,llama_clean_0.80_all
Subject Generation,0,0,36,0.0,0.0,0.0,llama_clean_0.80_all
CSV Column,25,0,0,1.0,1.0,1.0,deepseek_clean_0.80_all
Datatype,13,0,4,1.0,0.7647058823529411,0.8666666666666666,deepseek_clean_0.80_all
Entity Class,12,0,24,1.0,0.3333333333333333,0.5,deepseek_clean_0.80_all
Function Name,0,0,12,0.0,0.0,0.0,deepseek_clean_0.80_all
Function Output,8,0,4,1.0,0.6666666666666666,0.8,deepseek_clean_0.80_all
Join,11,0,0,1.0,1.0,1.0,deepseek_clean_0.80_all
Ontology Property,36,0,0,1.0,1.0,1.0,deepseek_clean_0.80_all
Related Entity Class,9,0,8,1.0,0.5294117647058824,0.6923076923076924,deepseek_clean_0.80_all
Subject Generation,6,0,0,1.0,1.0,1.0,deepseek_clean_0.80_all
CSV Column,27,0,0,1.0,1.0,1.0,gpt4o_clean_0.80_all
Datatype,13,0,5,1.0,0.7222222222222222,0.8387096774193548,gpt4o_clean_0.80_all
Entity Class,39,0,0,1.0,1.0,1.0,gpt4o_clean_0.80_all
Function Name,0,0,9,0.0,0.0,0.0,gpt4o_clean_0.80_all
Function Output,3,0,6,1.0,0.3333333333333333,0.5,gpt4o_clean_0.80_all
Join,8,0,4,1.0,0.6666666666666666,0.8,gpt4o_clean_0.80_all
Ontology Property,39,0,0,1.0,1.0,1.0,gpt4o_clean_0.80_all
Related Entity Class,19,0,2,1.0,0.9047619047619048,0.95,gpt4o_clean_0.80_all
Subject Generation,28,0,0,1.0,1.0,1.0,gpt4o_clean_0.80_all
CSV Column,27,0,0,1.0,1.0,1.0,gemini_2.5_clean_0.80_all
Datatype,9,0,9,1.0,0.5,0.6666666666666666,gemini_2.5_clean_0.80_all
Entity Class,39,0,1,1.0,0.975,0.9873417721518988,gemini_2.5_clean_0.80_all
Function Name,0,0,9,0.0,0.0,0.0,gemini_2.5_clean_0.80_all
Function Output,9,0,0,1.0,1.0,1.0,gemini_2.5_clean_0.80_all
Join,11,0,2,1.0,0.8461538461538461,0.9166666666666666,gemini_2.5_clean_0.80_all
Ontology Property,40,0,0,1.0,1.0,1.0,gemini_2.5_clean_0.80_all
Related Entity Class,22,0,0,1.0,1.0,1.0,gemini_2.5_clean_0.80_all
Subject Generation,23,0,17,1.0,0.575,0.7301587301587301,gemini_2.5_clean_0.80_all
