column,TP,FP,FN,precision,recall,f1
CSV Column,43,0,9,1.0,0.8269230769230769,0.9052631578947368
Datatype,30,0,9,1.0,0.7692307692307693,0.8695652173913044
Entity Class,46,0,2,1.0,0.9583333333333334,0.9787234042553191
Function Name,0,0,3,0.0,0.0,0.0
Function Output,1,0,2,1.0,0.3333333333333333,0.5
Join,3,0,0,1.0,1.0,1.0
Ontology Property,48,0,0,1.0,1.0,1.0
Rel. Entity Class,0,0,0,0.0,0.0,0.0
Related Entity Class,0,0,0,0.0,0.0,0.0
Subject Generation,15,0,19,1.0,0.4411764705882353,0.6122448979591837
