column,TP,FP,FN,precision,recall,f1,method
CSV Column,15,0,1,1.0,0.9375,0.967741935483871,gemini_2.5_0.80_all
Datatype,15,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Entity Class,18,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,gemini_2.5_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,gemini_2.5_0.80_all
Join,0,0,3,0.0,0.0,0.0,gemini_2.5_0.80_all
Ontology Property,18,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Rel. Entity Class,3,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Subject Generation,5,0,13,1.0,0.2777777777777778,0.4347826086956522,gemini_2.5_0.80_all
CSV Column,15,0,0,1.0,1.0,1.0,mixtral_0.80_all
Datatype,15,0,0,1.0,1.0,1.0,mixtral_0.80_all
Entity Class,15,0,0,1.0,1.0,1.0,mixtral_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,mixtral_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,mixtral_0.80_all
Join,0,0,0,0.0,0.0,0.0,mixtral_0.80_all
Ontology Property,15,0,0,1.0,1.0,1.0,mixtral_0.80_all
Rel. Entity Class,0,0,0,0.0,0.0,0.0,mixtral_0.80_all
Subject Generation,4,0,11,1.0,0.2666666666666666,0.4210526315789474,mixtral_0.80_all
CSV Column,17,0,1,1.0,0.9444444444444444,0.9714285714285714,o3_0.80_all
Datatype,9,0,6,1.0,0.6,0.7499999999999999,o3_0.80_all
Entity Class,18,0,0,1.0,1.0,1.0,o3_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,o3_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,o3_0.80_all
Join,1,0,2,1.0,0.3333333333333333,0.5,o3_0.80_all
Ontology Property,18,0,0,1.0,1.0,1.0,o3_0.80_all
Rel. Entity Class,3,0,0,1.0,1.0,1.0,o3_0.80_all
Subject Generation,0,0,18,0.0,0.0,0.0,o3_0.80_all
CSV Column,15,0,0,1.0,1.0,1.0,deepseek_0.80_all
Datatype,13,0,2,1.0,0.8666666666666667,0.9285714285714286,deepseek_0.80_all
Entity Class,15,0,0,1.0,1.0,1.0,deepseek_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,deepseek_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,deepseek_0.80_all
Join,0,0,0,0.0,0.0,0.0,deepseek_0.80_all
Ontology Property,15,0,0,1.0,1.0,1.0,deepseek_0.80_all
Rel. Entity Class,0,0,0,0.0,0.0,0.0,deepseek_0.80_all
Subject Generation,4,0,11,1.0,0.2666666666666666,0.4210526315789474,deepseek_0.80_all
CSV Column,18,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Datatype,15,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Entity Class,18,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,gpt4o_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,gpt4o_0.80_all
Join,1,0,2,1.0,0.3333333333333333,0.5,gpt4o_0.80_all
Ontology Property,18,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Rel. Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Subject Generation,12,0,6,1.0,0.6666666666666666,0.8,gpt4o_0.80_all
CSV Column,15,0,0,1.0,1.0,1.0,llama_0.80_all
Datatype,15,0,0,1.0,1.0,1.0,llama_0.80_all
Entity Class,15,0,0,1.0,1.0,1.0,llama_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,llama_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,llama_0.80_all
Join,0,0,0,0.0,0.0,0.0,llama_0.80_all
Ontology Property,15,0,0,1.0,1.0,1.0,llama_0.80_all
Rel. Entity Class,0,0,0,0.0,0.0,0.0,llama_0.80_all
Subject Generation,9,0,6,1.0,0.6,0.7499999999999999,llama_0.80_all
