column,TP,FP,FN,precision,recall,f1,method
Datatype,4,0,1,1.0,0.8,0.888888888888889,o3_clean_0.80_all
Entity Class,6,0,9,1.0,0.4,0.5714285714285715,o3_clean_0.80_all
Function Name,0,0,2,0.0,0.0,0.0,o3_clean_0.80_all
Function Output,0,0,4,0.0,0.0,0.0,o3_clean_0.80_all
Join,0,0,8,0.0,0.0,0.0,o3_clean_0.80_all
Ontology Property,20,0,20,1.0,0.5,0.6666666666666666,o3_clean_0.80_all
Related Entity Class,10,0,11,1.0,0.4761904761904761,0.6451612903225806,o3_clean_0.80_all
Subject Generation,0,0,40,0.0,0.0,0.0,o3_clean_0.80_all
XML Path,6,0,4,1.0,0.6,0.7499999999999999,o3_clean_0.80_all
Datatype,3,0,4,1.0,0.4285714285714285,0.6,gemini_clean_0.80_all
Entity Class,17,0,32,1.0,0.3469387755102041,0.5151515151515151,gemini_clean_0.80_all
Function Name,0,0,5,0.0,0.0,0.0,gemini_clean_0.80_all
Function Output,0,0,5,0.0,0.0,0.0,gemini_clean_0.80_all
Join,0,0,13,0.0,0.0,0.0,gemini_clean_0.80_all
Ontology Property,9,0,38,1.0,0.1914893617021276,0.3214285714285714,gemini_clean_0.80_all
Related Entity Class,8,0,13,1.0,0.3809523809523809,0.5517241379310345,gemini_clean_0.80_all
Subject Generation,0,0,49,0.0,0.0,0.0,gemini_clean_0.80_all
XML Path,9,0,4,1.0,0.6923076923076923,0.8181818181818181,gemini_clean_0.80_all
,0,0,0,0.0,0.0,0.0,mixtral_clean_0.80_all
Datatype,0,0,9,0.0,0.0,0.0,mixtral_clean_0.80_all
Entity Class,1,0,50,1.0,0.0196078431372549,0.0384615384615384,mixtral_clean_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,mixtral_clean_0.80_all
Function Output,0,0,0,0.0,0.0,0.0,mixtral_clean_0.80_all
Join,0,0,5,0.0,0.0,0.0,mixtral_clean_0.80_all
Ontology Property,6,0,45,1.0,0.1176470588235294,0.2105263157894736,mixtral_clean_0.80_all
Related Entity Class,1,0,36,1.0,0.027027027027027,0.0526315789473684,mixtral_clean_0.80_all
Subject Generation,0,0,35,0.0,0.0,0.0,mixtral_clean_0.80_all
XML Path,2,0,11,1.0,0.1538461538461538,0.2666666666666667,mixtral_clean_0.80_all
Datatype,1,0,3,1.0,0.25,0.4,llama_clean_0.80_all
Entity Class,4,0,33,1.0,0.1081081081081081,0.1951219512195122,llama_clean_0.80_all
Function Name,1,0,1,1.0,0.5,0.6666666666666666,llama_clean_0.80_all
Function Output,0,0,2,0.0,0.0,0.0,llama_clean_0.80_all
Join,0,0,13,0.0,0.0,0.0,llama_clean_0.80_all
Ontology Property,7,0,30,1.0,0.1891891891891892,0.3181818181818182,llama_clean_0.80_all
Related Entity Class,2,0,13,1.0,0.1333333333333333,0.2352941176470588,llama_clean_0.80_all
Subject Generation,0,0,33,0.0,0.0,0.0,llama_clean_0.80_all
XML Path,5,0,5,1.0,0.5,0.6666666666666666,llama_clean_0.80_all
Datatype,5,0,2,1.0,0.7142857142857143,0.8333333333333333,deepseek_clean_0.80_all
Entity Class,17,0,34,1.0,0.3333333333333333,0.5,deepseek_clean_0.80_all
Function Name,0,0,3,0.0,0.0,0.0,deepseek_clean_0.80_all
Function Output,0,0,3,0.0,0.0,0.0,deepseek_clean_0.80_all
Join,0,0,10,0.0,0.0,0.0,deepseek_clean_0.80_all
Ontology Property,11,0,40,1.0,0.2156862745098039,0.3548387096774193,deepseek_clean_0.80_all
Related Entity Class,2,0,11,1.0,0.1538461538461538,0.2666666666666667,deepseek_clean_0.80_all
Subject Generation,0,0,51,0.0,0.0,0.0,deepseek_clean_0.80_all
XML Path,5,0,7,1.0,0.4166666666666667,0.5882352941176471,deepseek_clean_0.80_all
Datatype,2,0,0,1.0,1.0,1.0,gpt4o_clean_0.80_all
Entity Class,5,0,17,1.0,0.2272727272727272,0.3703703703703703,gpt4o_clean_0.80_all
Function Name,0,0,1,0.0,0.0,0.0,gpt4o_clean_0.80_all
Function Output,0,0,1,0.0,0.0,0.0,gpt4o_clean_0.80_all
Join,0,0,4,0.0,0.0,0.0,gpt4o_clean_0.80_all
Ontology Property,3,0,19,1.0,0.1363636363636363,0.24,gpt4o_clean_0.80_all
Related Entity Class,2,0,10,1.0,0.1666666666666666,0.2857142857142857,gpt4o_clean_0.80_all
Subject Generation,0,0,22,0.0,0.0,0.0,gpt4o_clean_0.80_all
XML Path,4,0,1,1.0,0.8,0.888888888888889,gpt4o_clean_0.80_all
