column,mean_similarity,LLM,method
CSV Column,0.0562115128043689,mixtral,bert
Datatype,0.0213894901394901,mixtral,bert
Entity Class,0.1275658341665501,mixtral,bert
Function Name,0.0116669655131193,mixtral,bert
Function Output,3.686994310867156e-05,mixtral,bert
Join,0.0160867992292177,mixtral,bert
Ontology Property,0.1422891125638755,mixtral,bert
Rel. Entity Class,0.0558093584656084,mixtral,bert
Subject Generation,0.0989644484577371,mixtral,bert
CSV Column,0.1553301292704418,mixtral,bert_lexical
Datatype,0.1487407017826896,mixtral,bert_lexical
Entity Class,0.2155025865805024,mixtral,bert_lexical
Function Name,0.0555739994678232,mixtral,bert_lexical
Function Output,0.1486115561654934,mixtral,bert_lexical
Join,0.1535156927312966,mixtral,bert_lexical
Ontology Property,0.1590949395671486,mixtral,bert_lexical
Rel. Entity Class,0.1677774456019203,mixtral,bert_lexical
Subject Generation,0.2561236877149592,mixtral,bert_lexical
CSV Column,0.1553301292704418,mixtral,levenshtein
Datatype,0.1487407017826896,mixtral,levenshtein
Entity Class,0.2155025865805024,mixtral,levenshtein
Function Name,0.0555739994678232,mixtral,levenshtein
Function Output,0.1486115561654934,mixtral,levenshtein
Join,0.1535156927312966,mixtral,levenshtein
Ontology Property,0.1590949395671486,mixtral,levenshtein
Rel. Entity Class,0.1677774456019203,mixtral,levenshtein
Subject Generation,0.2561236877149592,mixtral,levenshtein
CSV Column,0.2526132892041157,gemini,levenshtein
Datatype,0.3286044889440139,gemini,levenshtein
Entity Class,0.473469266279911,gemini,levenshtein
Function Name,0.1056303044781088,gemini,levenshtein
Function Output,0.1678847731401523,gemini,levenshtein
Join,0.154909382152379,gemini,levenshtein
Ontology Property,0.3159427147669096,gemini,levenshtein
Rel. Entity Class,0.2382814828465637,gemini,levenshtein
Subject Generation,0.3623362419117863,gemini,levenshtein
CSV Column,0.1503554369754083,gemini,bert
Datatype,0.2805555555555555,gemini,bert
Entity Class,0.4863559123016359,gemini,bert
Function Name,0.0625897129186602,gemini,bert
Function Output,0.0047449716489459,gemini,bert
Join,0.0265894911144044,gemini,bert
Ontology Property,0.2966713698760951,gemini,bert
Rel. Entity Class,0.1810570058119077,gemini,bert
Subject Generation,0.1934672608927803,gemini,bert
CSV Column,0.2526132892041157,gemini,bert_lexical
Datatype,0.3286044889440139,gemini,bert_lexical
Entity Class,0.473469266279911,gemini,bert_lexical
Function Name,0.1056303044781088,gemini,bert_lexical
Function Output,0.1678847731401523,gemini,bert_lexical
Join,0.154909382152379,gemini,bert_lexical
Ontology Property,0.3159427147669096,gemini,bert_lexical
Rel. Entity Class,0.2382814828465637,gemini,bert_lexical
Subject Generation,0.3623362419117863,gemini,bert_lexical
CSV Column,0.2218900252288828,o3,bert_lexical
Datatype,0.1990025703239047,o3,bert_lexical
Entity Class,0.4753514633048326,o3,bert_lexical
Function Name,0.1727640780601462,o3,bert_lexical
Function Output,0.1490709135360602,o3,bert_lexical
Join,0.1938427261765409,o3,bert_lexical
Ontology Property,0.3718816830272165,o3,bert_lexical
Rel. Entity Class,0.2932804041907136,o3,bert_lexical
Subject Generation,0.2327523475202421,o3,bert_lexical
CSV Column,0.2218900252288828,o3,levenshtein
Datatype,0.1990025703239047,o3,levenshtein
Entity Class,0.4753514633048326,o3,levenshtein
Function Name,0.1727640780601462,o3,levenshtein
Function Output,0.1490709135360602,o3,levenshtein
Join,0.1938427261765409,o3,levenshtein
Ontology Property,0.3718816830272165,o3,levenshtein
Rel. Entity Class,0.2932804041907136,o3,levenshtein
Subject Generation,0.2327523475202421,o3,levenshtein
CSV Column,0.1205690909136335,o3,bert
Datatype,0.1142150673400673,o3,bert
Entity Class,0.4231136773447375,o3,bert
Function Name,0.0680538223467516,o3,bert
Function Output,0.0032062299797392,o3,bert
Join,0.0276471411260248,o3,bert
Ontology Property,0.3202463585050994,o3,bert
Rel. Entity Class,0.2150710237474943,o3,bert
Subject Generation,0.094392310647405,o3,bert
CSV Column,0.2286298696546712,deepseek,bert_lexical
Datatype,0.230036466072003,deepseek,bert_lexical
Entity Class,0.4013197237211797,deepseek,bert_lexical
Function Name,0.115611468486133,deepseek,bert_lexical
Function Output,0.1118370178909528,deepseek,bert_lexical
Join,0.1408429501712808,deepseek,bert_lexical
Ontology Property,0.264625730453473,deepseek,bert_lexical
Rel. Entity Class,0.1729057653707241,deepseek,bert_lexical
Subject Generation,0.3338656637869361,deepseek,bert_lexical
