column,TP,FP,FN,precision,recall,f1,method
CSV Column,8,0,16,1.0,0.3333333333333333,0.5,mixtral_0.80_all
Datatype,0,0,24,0.0,0.0,0.0,mixtral_0.80_all
Entity Class,1,0,50,1.0,0.0196078431372549,0.0384615384615384,mixtral_0.80_all
Function Name,0,0,6,0.0,0.0,0.0,mixtral_0.80_all
Function Output,0,0,9,0.0,0.0,0.0,mixtral_0.80_all
Join,0,0,5,0.0,0.0,0.0,mixtral_0.80_all
Ontology Property,1,0,50,1.0,0.0196078431372549,0.0384615384615384,mixtral_0.80_all
Rel. Entity Class,0,0,27,0.0,0.0,0.0,mixtral_0.80_all
Subject Generation,0,0,36,0.0,0.0,0.0,mixtral_0.80_all
CSV Column,8,0,6,1.0,0.5714285714285714,0.7272727272727273,gemini_0.80_all
Datatype,0,0,10,0.0,0.0,0.0,gemini_0.80_all
Entity Class,7,0,45,1.0,0.1346153846153846,0.2372881355932203,gemini_0.80_all
Function Name,0,0,2,0.0,0.0,0.0,gemini_0.80_all
Function Output,0,0,2,0.0,0.0,0.0,gemini_0.80_all
Join,0,0,15,0.0,0.0,0.0,gemini_0.80_all
Ontology Property,3,0,47,1.0,0.06,0.1132075471698113,gemini_0.80_all
Rel. Entity Class,3,0,16,1.0,0.1578947368421052,0.2727272727272727,gemini_0.80_all
Subject Generation,0,0,50,0.0,0.0,0.0,gemini_0.80_all
CSV Column,7,0,15,1.0,0.3181818181818182,0.4827586206896552,o3_0.80_all
Datatype,2,0,10,1.0,0.1666666666666666,0.2857142857142857,o3_0.80_all
Entity Class,15,0,53,1.0,0.2205882352941176,0.36144578313253,o3_0.80_all
Function Name,0,0,5,0.0,0.0,0.0,o3_0.80_all
Function Output,0,0,8,0.0,0.0,0.0,o3_0.80_all
Join,0,0,19,0.0,0.0,0.0,o3_0.80_all
Ontology Property,13,0,55,1.0,0.1911764705882352,0.3209876543209876,o3_0.80_all
Rel. Entity Class,9,0,23,1.0,0.28125,0.4390243902439024,o3_0.80_all
Subject Generation,0,0,43,0.0,0.0,0.0,o3_0.80_all
CSV Column,3,0,10,1.0,0.2307692307692307,0.375,deepseek_0.80_all
Datatype,0,0,5,0.0,0.0,0.0,deepseek_0.80_all
Entity Class,18,0,33,1.0,0.3529411764705882,0.5217391304347826,deepseek_0.80_all
Function Name,0,0,6,0.0,0.0,0.0,deepseek_0.80_all
Function Output,0,0,6,0.0,0.0,0.0,deepseek_0.80_all
Join,0,0,12,0.0,0.0,0.0,deepseek_0.80_all
Ontology Property,9,0,42,1.0,0.1764705882352941,0.3,deepseek_0.80_all
Rel. Entity Class,3,0,9,1.0,0.25,0.4,deepseek_0.80_all
Subject Generation,0,0,51,0.0,0.0,0.0,deepseek_0.80_all
CSV Column,9,0,1,1.0,0.9,0.9473684210526316,gpt4o_0.80_all
Datatype,0,0,10,0.0,0.0,0.0,gpt4o_0.80_all
Entity Class,2,0,20,1.0,0.0909090909090909,0.1666666666666666,gpt4o_0.80_all
Function Name,0,0,4,0.0,0.0,0.0,gpt4o_0.80_all
Function Output,0,0,4,0.0,0.0,0.0,gpt4o_0.80_all
Join,0,0,4,0.0,0.0,0.0,gpt4o_0.80_all
Ontology Property,3,0,19,1.0,0.1363636363636363,0.24,gpt4o_0.80_all
Rel. Entity Class,2,0,7,1.0,0.2222222222222222,0.3636363636363636,gpt4o_0.80_all
Subject Generation,0,0,22,0.0,0.0,0.0,gpt4o_0.80_all
CSV Column,7,0,6,1.0,0.5384615384615384,0.7000000000000001,llama_0.80_all
Datatype,0,0,13,0.0,0.0,0.0,llama_0.80_all
Entity Class,3,0,34,1.0,0.081081081081081,0.15,llama_0.80_all
Function Name,1,0,5,1.0,0.1666666666666666,0.2857142857142857,llama_0.80_all
Function Output,0,0,6,0.0,0.0,0.0,llama_0.80_all
Join,0,0,8,0.0,0.0,0.0,llama_0.80_all
Ontology Property,5,0,32,1.0,0.1351351351351351,0.2380952380952381,llama_0.80_all
Rel. Entity Class,1,0,9,1.0,0.1,0.1818181818181818,llama_0.80_all
Subject Generation,0,0,33,0.0,0.0,0.0,llama_0.80_all
