trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
4_I12-001_2016I12_1_1_4__1___,00:08:19,00:08:19,par_4_1,3.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:22:04,00:22:04,par_4_10,12.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:23:53,00:23:53,par_4_11,13.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:24:44,00:24:44,par_4_12,14.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:26:30,00:26:30,par_4_13,15.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:27:47,00:27:47,par_4_14,16.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:29:34,00:29:34,par_4_15,17.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:30:22,00:30:22,par_4_16,18.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:32:13,00:32:13,par_4_17,19.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:33:38,00:33:38,par_4_18,20.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:35:29,00:35:29,par_4_19,21.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:09:40,00:09:40,par_4_2,4.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:36:43,00:36:43,par_4_20,22.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:38:14,00:38:14,par_4_21,23.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:39:42,00:39:42,par_4_22,24.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:41:25,00:41:25,par_4_23,25.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:43:05,00:43:05,par_4_24,26.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:46:34,00:46:34,par_4_25,27.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:47:53,00:47:53,par_4_26,28.0,,0,0,
4_I12-001_2016I12_1_1_4__1___,00:05:17,00:05:17,par_4_261,2.0,,0,0,
