stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
acc_4_1_1,1,Plaza de Castilla,Paseo de la Castellana 189,40.46682,-3.68918,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1040,1,Ascensor,Plaza de Castilla 9,40.46555,-3.68877,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1043,1,Intercambiador Superficie,Paseo de la Castellana 191 B,40.46728,-3.68915,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1044,1,Ascensor,Paseo de la Castellana 189,40.46702,-3.68918,,http://www.crtm.es,2,est_90_21,,0
est_4_95,95,URGEL,,40.39335,-3.7236,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_96,96,OPORTO,,40.38846,-3.73132,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_97,97,VISTA ALEGRE,,40.38885,-3.73982,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_98,98,CARABANCHEL,,40.38783,-3.74487,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_99,99,EUGENIA DE MONTIJO,,40.38439,-3.75121,A,http://www.crtm.es,1,,Europe/Madrid,2
par_4_1,1,PLAZA DE CASTILLA,,40.4669,-3.68917,A,http://www.crtm.es,0,est_90_21,,0
par_4_10,10,TRIBUNAL,,40.42619,-3.7011,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_100,100,ALUCHE,,40.38563,-3.7608,A,http://www.crtm.es,0,est_90_1,,2
par_4_101,101,EMPALME,,40.39057,-3.76535,A,http://www.crtm.es,0,,Europe/Madrid,2
par_4_102,102,CAMPAMENTO,,40.39481,-3.76813,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_103,103,CASA DE CAMPO,,40.40324,-3.76101,A,http://www.crtm.es,0,,Europe/Madrid,2
par_4_104,104,LAGUNA,,40.39923,-3.74429,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_105,105,CARPETANA,,40.3927,-3.74099,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_106,106,OPORTO,,40.38847,-3.73126,A,http://www.crtm.es,0,est_4_96,,0
par_4_107,107,OPAÑEL,,40.3869,-3.72313,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_108,108,PLAZA ELIPTICA,,40.3846,-3.71837,A,http://www.crtm.es,0,est_90_36,,2
