route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
4__1___,4_I12,4_I12-001_2016I12_1_1_4__1___,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0,,4__1____1__IT_1,1
4__1___,4_I12,4_I12-001_2016I12_2_1_4__1___,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1,,4__1____2__IT_1,1
4__2___,4_I12,4_I12-002_2016I12_1_1_4__2___,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0,,4__2____1__IT_1,1
4__2___,4_I12,4_I12-002_2016I12_2_1_4__2___,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1,,4__2____2__IT_1,1
4__3___,4_I12,4_I12-003_2016I12_1_1_4__3___,MONCLOA,VILLAVERDE ALTO-MONCLOA,0,,4__3____1__IT_1,1
4__3___,4_I12,4_I12-003_2016I12_2_1_4__3___,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1,,4__3____2__IT_1,1
4__4___,4_I12,4_I12-004_2016I12_1_1_4__4___,PINAR DE CHAMARTIN,ARGÜELLES-PINAR DE CHAMARTIN,0,,4__4____1__IT_1,1
4__4___,4_I12,4_I12-004_2016I12_2_1_4__4___,ARGÜELLES,PINAR DE CHAMARTIN-ARGÜELLES,1,,4__4____2__IT_1,1
4__5___,4_I12,4_I12-005_2016I12_1_1_4__5___,CASA DE CAMPO,ALAMEDA DE OSUNA-CASA DE CAMPO,0,,4__5____1__IT_1,1
4__5___,4_I12,4_I12-005_2016I12_2_1_4__5___,ALAMEDA DE OSUNA,CASA DE CAMPO-ALAMEDA DE OSUNA,1,,4__5____2__IT_1,1
4__8___,4_I12,4_I12-008_2016I12_1_1_4__8___,AEROPUERTO T4,NUEVOS MINISTERIOS-AEROPUERTO T4,0,,4__8____1__IT_1,1
4__8___,4_I12,4_I12-008_2016I12_2_1_4__8___,NUEVOS MINISTERIOS,AEROPUERTO T4-NUEVOS MINISTERIOS,1,,4__8____2__IT_1,1
4__11___,4_I12,4_I12-011_2016I12_1_1_4__11___,LA FORTUNA,PLAZA ELIPTICA-LA FORTUNA,0,,4__11____1__IT_1,1
4__11___,4_I12,4_I12-011_2016I12_2_1_4__11___,PLAZA ELIPTICA,LA FORTUNA-PLAZA ELIPTICA,1,,4__11____2__IT_1,1
4__6___,4_I12,4_I12-061_2016I12_1_1_4__6_1__,LAGUNA,Línea Circular Sentido Anti-Horario,0,,4__6_1___1__IT_1,1
4__6___,4_I12,4_I12-062_2016I12_1_1_4__6_2__,LAGUNA,Línea Circular Sentido Anti-Horario,0,,4__6_2___1__IT_1,1
4__7___,4_I12,4_I12-071_2016I12_1_1_4__7_A__,PITIS,Hospital de Henares - Pitis,0,,4__7_A___1__IT_1,1
4__7___,4_I12,4_I12-071_2016I12_2_1_4__7_A__,ESTADIO METROPOLITANO,Pitis - Hospital de Henares,1,,4__7_A___2__IT_1,1
4__7___,4_I12,4_I12-072_2016I12_1_1_4__7_B__,ESTADIO METROPOLITANO,Hospital de Henares - Pitis,0,,4__7_B___1__IT_1,1
4__7___,4_I12,4_I12-072_2016I12_2_1_4__7_B__,HOSPITAL DEL HENARES,Pitis - Hospital de Henares,1,,4__7_B___2__IT_1,1
